num,name,rarity,types,passive,passive_cat,appearances,wins,winrate,koGiven,koReceived,koRatio,hpRemAvg
1,Citizen Kane,LÉGENDAIRE,Drame,Rosebud,flavor,195,113,0.5795,126,155,0.81,178.4
2,Le Parrain,LÉGENDAIRE,Crime+Drame,Une offre qu'il ne pourra pas refuser,entry_drop,195,101,0.5179,120,152,0.79,151.3
3,Apocalypse Now,LÉGENDAIRE,Guerre+Drame,J'adore l'odeur du napalm au petit matin,status_immune,195,122,0.6256,240,150,1.60,121.0
4,Taxi Driver,ÉPIQUE,Thriller+Drame,Tu parles à moi ?,entry_drop,109,54,0.4954,64,65,0.98,166.9
5,Blade Runner,ÉPIQUE,Science-Fiction+Thriller,Plus humain que l'humain,status_immune,110,55,0.5000,53,76,0.70,170.6
6,Gladiator,LÉGENDAIRE,Action+Drame,N'êtes-vous pas divertis ?!,per_turn_boost,195,120,0.6154,170,153,1.11,162.7
7,Parasite,LÉGENDAIRE,Thriller+Comédie,Jessica; fille unique,entry_drop,195,110,0.5641,156,142,1.10,99.1
8,Forrest Gump,LÉGENDAIRE,Drame+Comédie,Cours; Forrest; cours !,dodge_first,195,114,0.5846,149,153,0.97,177.3
9,Titanic,LÉGENDAIRE,Romance+Drame,Tu sauteras; je sauterai,flavor,195,116,0.5949,148,148,1.00,126.3
10,La Liste de Schindler,LÉGENDAIRE,Drame+Guerre,La liste; c'est la vie,flavor,195,122,0.6256,215,152,1.41,127.8
11,Les Évadés,LÉGENDAIRE,Drame,L'espoir est une bonne chose,endure_once,195,133,0.6821,336,144,2.33,157.0
12,Inception,LÉGENDAIRE,Science-Fiction+Action,Le totem,miss_chance,195,114,0.5846,218,144,1.51,114.8
13,Interstellar,LÉGENDAIRE,Science-Fiction+Drame,On trouve toujours un moyen,lowhp_boost,195,107,0.5487,177,161,1.10,156.4
14,The Dark Knight,LÉGENDAIRE,Action+Crime,Le Chevalier Noir,lowhp_boost,195,142,0.7282,416,106,3.92,102.1
15,Mad Max: Fury Road,LÉGENDAIRE,Action+Aventure,Quelle belle journée !,start_boost,195,120,0.6154,238,147,1.62,122.3
16,Bernie,DUPONTEL,Comédie+Drame,J'm'en fous j'suis fou,status_immune,110,65,0.5909,108,67,1.61,187.4
17,Le Créateur,DUPONTEL,Comédie+Drame,Le délire du créateur,miss_chance,109,59,0.5413,92,67,1.37,150.6
18,Enfermés dehors,DUPONTEL,Comédie,Le quiproquo permanent,miss_chance,110,55,0.5000,105,77,1.36,189.0
19,Le Vilain,DUPONTEL,Comédie+Horreur,Le masque qui trouble,miss_chance,109,56,0.5138,99,77,1.29,202.3
20,9 mois ferme,DUPONTEL,Comédie+Crime,La grossesse imprévue,miss_chance,109,51,0.4679,95,65,1.46,187.6
21,Au revoir là-haut,DUPONTEL,Drame+Crime,Les gueules cassées,lowhp_boost,109,58,0.5321,85,71,1.20,205.0
22,Adieu les cons,DUPONTEL,Comédie+Drame,La quête désespérée,miss_chance,109,54,0.4954,78,69,1.13,175.9
23,Second tour,DUPONTEL,Comédie+Drame,Le candidat fantôme,miss_chance,108,68,0.6296,73,61,1.20,176.7
24,Rashômon,ÉPIQUE,Drame+Crime,La vérité qui résiste,lowhp_boost,109,48,0.4404,53,75,0.71,153.4
25,Les 400 coups,ÉPIQUE,Drame,La course vers la mer,lowhp_boost,109,47,0.4312,34,75,0.45,204.8
26,À bout de souffle,RARE,Crime+Drame,Le voyou nonchalant,entry_drop,109,54,0.4954,47,64,0.73,162.2
27,Cléo de 5 à 7,RARE,Drame,L'attente du verdict,lowhp_boost,109,51,0.4679,74,68,1.09,167.9
28,L'Enfance d'Ivan,RARE,Drame+Guerre,L'enfance volée,lowhp_boost,109,66,0.6055,57,65,0.88,183.9
29,2001 : L'Odyssée de l'espace,LÉGENDAIRE,Science-Fiction+Drame,Désolé Dave; je crains de ne pouvoir faire ça,flavor,195,115,0.5897,97,166,0.58,212.0
30,Orange mécanique,LÉGENDAIRE,Drame+Science-Fiction,Ludwig van,per_turn_boost,195,108,0.5538,160,153,1.05,117.7
31,Le Parrain II,LÉGENDAIRE,Crime+Drame,Tes ennemis encore plus près,antiboost,195,114,0.5846,226,149,1.52,78.4
32,Solaris,RARE,Science-Fiction+Drame,L'océan pensant,status_immune,109,57,0.5229,52,68,0.76,166.1
33,Chinatown,ÉPIQUE,Crime+Drame,Oublie ça; Jake,entry_drop,109,48,0.4404,43,76,0.57,189.6
34,Les Dents de la mer,LÉGENDAIRE,Thriller+Horreur,Il va vous falloir un plus gros bateau,lowhp_boost,194,137,0.7062,279,122,2.29,83.1
35,Rocky,LÉGENDAIRE,Drame,Tenir la distance,flavor,195,123,0.6308,303,138,2.20,158.5
36,E.T. l'extra-terrestre,LÉGENDAIRE,Science-Fiction+Drame,E.T. téléphone maison,per_turn_boost,194,113,0.5825,117,152,0.77,212.5
37,Amadeus,ÉPIQUE,Drame,La rage de Salieri,lowhp_boost,109,50,0.4587,38,77,0.49,184.4
38,Top Gun,RARE,Action+Romance,Le besoin de vitesse,start_boost,110,59,0.5364,27,59,0.46,152.9
