filmNum,filmName,moveName,type,cat,pow,acc,equipped,played,avgDamage,koRate,ia_pilotee
1,Citizen Kane,Rosebud,—,status,,100,130,0,,,false
1,Citizen Kane,L'empire de l'Inquirer,Drame,phys,80,95,130,190,17.6,0.0579,true
1,Citizen Kane,Le montage du petit-déjeuner,Drame,spe,75,95,130,403,34.0,0.0819,true
1,Citizen Kane,La profondeur de champ de Toland,Drame,spe,80,95,130,864,37.0,0.0949,true
1,Citizen Kane,Xanadu,—,status,,100,130,115,0.0,0.0000,false
1,Citizen Kane,La boule à neige,Drame,phys,60,100,130,32,11.2,0.0000,true
2,Le Parrain,« Une offre qu'il ne pourra pas refuser »,—,status,,100,130,289,0.0,0.0000,false
2,Le Parrain,La tête de cheval dans le lit,—,status,,100,130,231,0.0,0.0000,false
2,Le Parrain,Le baptême du sang,Crime,phys,90,85,130,367,22.6,0.0490,true
2,Le Parrain,Le baise-main au Parrain,—,status,,100,130,490,0.0,0.0000,true
2,Le Parrain,L'autorité du Don,Crime,spe,75,95,130,687,34.4,0.0742,true
2,Le Parrain,« Laisse le flingue; prends les cannoli »,Crime,phys,55,100,130,163,22.5,0.3129,true
3,Apocalypse Now,La Chevauchée des Walkyries,Guerre,phys,75,90,130,15,100.1,0.5333,true
3,Apocalypse Now,« J'adore l'odeur du napalm au matin »,Guerre,phys,85,85,130,93,90.3,0.3763,true
3,Apocalypse Now,« L'horreur… l'horreur »,—,status,,100,130,98,0.0,0.0000,false
3,Apocalypse Now,Le surf sous les bombes,Guerre,phys,85,95,130,461,65.7,0.2321,true
3,Apocalypse Now,La remontée du Nung,—,status,,100,130,196,0.0,0.0000,true
3,Apocalypse Now,Le sacrifice du buffle,Drame,phys,135,70,130,377,58.7,0.2387,true
4,Taxi Driver,« C'est à moi que tu parles ? »,—,status,,100,72,84,0.0,0.0000,true
4,Taxi Driver,Le mohawk,Drame,spe,75,95,72,17,37.9,0.1176,true
4,Taxi Driver,La rampe à pistolet,Thriller,phys,55,95,73,77,46.4,0.4675,true
4,Taxi Driver,« Un vrai déluge nettoiera les rues »,Drame,spe,80,95,73,106,36.1,0.0660,true
4,Taxi Driver,L'insomnie new-yorkaise,Thriller,spe,70,95,73,58,39.9,0.0862,true
4,Taxi Driver,Le carnage du couloir,Thriller,phys,85,95,73,100,55.5,0.1400,true
5,Blade Runner,« Des larmes dans la pluie »,—,status,,100,73,0,,,false
5,Blade Runner,Le test Voight-Kampff,Thriller,spe,75,95,74,98,38.8,0.1020,true
5,Blade Runner,« Plus humain que l'humain »,—,status,,100,74,0,,,false
5,Blade Runner,La licorne en origami,Thriller,spe,80,95,73,246,36.9,0.1016,true
5,Blade Runner,L'étreinte de Roy Batty,Science-Fiction,phys,85,95,73,131,32.7,0.1069,true
5,Blade Runner,« Le temps de mourir »,Science-Fiction,phys,65,95,73,41,30.1,0.0976,true
6,Gladiator,« Au signal; déchaînez l'enfer »,Action,phys,75,90,130,99,32.8,0.1818,true
6,Gladiator,« N'êtes-vous pas divertis ?! »,Drame,phys,75,95,130,328,51.5,0.1738,true
6,Gladiator,« Maximus Decimus Meridius »,—,status,,100,130,225,0.0,0.0000,true
6,Gladiator,Le duel dans l'arène,Action,phys,85,95,130,607,41.8,0.1071,true
6,Gladiator,Les tigres lâchés,Action,phys,80,90,130,248,43.8,0.1210,true
6,Gladiator,Les champs de blé,—,status,,100,130,586,0.0,0.0000,true
7,Parasite,L'infiltration des Kim,—,status,,100,130,200,0.0,0.0000,true
